"Titre de tracé : p41_p"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Pression)","Temp., °C (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Temperature)","Hôte connecté (LGR S/N: 20072572)","Arrêté (LGR S/N: 20072572)","Fin de fichier (LGR S/N: 20072572)"
378,05/22/17 10:15:00,1.19593,12.748,,,
379,05/22/17 10:30:00,1.19940,12.785,,,
380,05/22/17 10:45:00,1.20649,12.841,,,
381,05/22/17 11:00:00,1.21271,12.889,,,
382,05/22/17 11:15:00,1.22004,12.945,,,
383,05/22/17 11:30:00,1.22675,12.993,,,
384,05/22/17 11:45:00,1.23453,13.044,,,
385,05/22/17 12:00:00,1.24186,13.114,,,
386,05/22/17 12:15:00,1.24880,13.184,,,
387,05/22/17 12:30:00,1.25742,13.257,,,
388,05/22/17 12:45:00,1.26646,13.345,,,
389,05/22/17 13:00:00,1.27691,13.425,,,
390,05/22/17 13:15:00,1.28443,13.496,,,
391,05/22/17 13:30:00,1.28897,13.557,,,
392,05/22/17 13:45:00,1.29473,13.616,,,
393,05/22/17 14:00:00,1.30198,13.705,,,
394,05/22/17 14:15:00,1.31205,13.813,,,
395,05/22/17 14:30:00,1.32128,13.931,,,
396,05/22/17 14:45:00,1.33455,14.093,,,
397,05/22/17 15:00:00,1.34565,14.219,,,
398,05/22/17 15:15:00,1.35664,14.355,,,
399,05/22/17 15:30:00,1.36854,14.492,,,
400,05/22/17 15:45:00,1.37907,14.620,,,
401,05/22/17 16:00:00,1.38743,14.711,,,
402,05/22/17 16:15:00,1.39570,14.825,,,
403,05/22/17 16:30:00,1.40166,14.895,,,
404,05/22/17 16:45:00,1.41119,15.019,,,
405,05/22/17 17:00:00,1.41577,15.042,,,
406,05/22/17 17:15:00,1.42279,15.116,,,
407,05/22/17 17:30:00,1.42721,15.202,,,
408,05/22/17 17:45:00,1.43503,15.299,,,
409,05/22/17 18:00:00,1.43767,15.372,,,
410,05/22/17 18:15:00,1.43702,15.399,,,
411,05/22/17 18:30:00,1.43801,15.493,,,
412,05/22/17 18:45:00,1.43942,15.754,,,
413,05/22/17 19:00:00,1.43854,15.716,,,
414,05/22/17 19:15:00,1.43698,15.600,,,
415,05/22/17 19:30:00,1.43408,15.687,,,
416,05/22/17 19:45:00,1.43076,15.757,,,
417,05/22/17 20:00:00,1.42573,15.822,,,
418,05/22/17 20:15:00,1.42012,15.778,,,
419,05/22/17 20:30:00,1.41379,15.596,,,
420,05/22/17 20:45:00,1.40574,15.693,,,
421,05/22/17 21:00:00,1.39963,15.606,,,
422,05/22/17 21:15:00,1.39261,15.566,,,
423,05/22/17 21:30:00,1.38739,15.534,,,
424,05/22/17 21:45:00,1.38125,15.497,,,
425,05/22/17 22:00:00,1.37507,15.457,,,
426,05/22/17 22:15:00,1.36954,15.405,,,
427,05/22/17 22:30:00,1.36370,15.364,,,
428,05/22/17 22:45:00,1.35637,15.324,,,
