k,k2,l,l2,RMSE1,MAE1,PBias1,KGE1,RMSE2,MAE2,PBias2,KGE2,RMSE3,MAE3,PBias3,KGE3
1e-13,1e-13,3.333333333333333,3.333333333333333,0.824873002346783,0.6508236552188124,-0.06788386562229477,0.35132629481507704,0.5498020717614707,0.43480781050428763,-0.38385565390939863,0.2507856097290425,0.35214540897772245,0.2741786496621095,-0.1440288871894379,0.17319589602422492
1e-13,1e-13,3.333333333333333,4.0,0.8250524318934481,0.650964379677675,-0.06773540519927923,0.3514027323647557,0.5545708593859628,0.43856642666636697,-0.380688866885631,0.25296096626786635,0.3605508461597385,0.2806488725960568,-0.13749667806034893,0.17734320578581153
1e-13,1e-13,4.0,2.0,0.8257079616448222,0.6514976466638166,-0.06803435610875522,0.3516818909498123,0.5469045533265274,0.43243503645314296,-0.3907867925256972,0.24946597264821657,0.3269866521479228,0.2546730924271327,-0.16568902635964317,0.16078311291093716
1e-13,1e-13,4.0,2.6666666666666665,0.8260493494750333,0.6517654001669944,-0.06765250742144321,0.3518273256373853,0.556611626293567,0.4401055422687592,-0.38288426579912593,0.2538942888872696,0.3467195516905951,0.26996518884789267,-0.149674979170826,0.17052040906152066
1e-13,1e-13,4.0,3.333333333333333,0.8263122183035981,0.6519713472510359,-0.06742453907833114,0.35193930799242135,0.5634100757174163,0.4454677943140026,-0.37813627341876616,0.25699555214291836,0.3589205265761612,0.2793834682404723,-0.1400834402687342,0.17654039395800858
1e-13,1e-13,4.0,4.0,0.8265181801818512,0.6521324503460663,-0.06726875280422212,0.35202704658506634,0.5684366990031385,0.44942779727671267,-0.37488095040072184,0.25928854122873735,0.36725288541440015,0.2857952258356348,-0.13352971073576206,0.1806516161723093
4.641588833612772e-13,1e-15,2.0,2.0,0.8171403043316624,0.6445662253183075,-0.057434926264910126,0.3480301405387166,0.4620939285314007,0.3643401617606428,-0.24263249149019162,0.2107578336896755,0.25844047717220897,0.20082076102628052,0.0076128754148976725,0.12722208884996067
4.641588833612772e-13,1e-15,2.0,2.6666666666666665,0.8171741243734671,0.6445907682840778,-0.057868614543674195,0.34804475300537285,0.4673249443571282,0.36859228769372504,-0.250795736247114,0.21315428549716597,0.2793368996595109,0.2170809863560411,-0.006415826192009227,0.13750246635869157
4.641588833612772e-13,1e-15,2.0,3.333333333333333,0.8172381179913505,0.6446400906696804,-0.05812692536228487,0.3480721418403727,0.47156852623088874,0.37200553881578136,-0.25564258427032643,0.2150957572751795,0.29292874318616474,0.2276183755757191,-0.014691091965413633,0.14418894698553275
4.641588833612772e-13,1e-15,2.0,4.0,0.81730490100906,0.6446920225028595,-0.0583024418943298,0.34810068011958994,0.4749877196722326,0.3747409033802481,-0.25892761069729114,0.21665913066803777,0.3025772755128211,0.23508764697424553,-0.02027483621883879,0.14893540223242074
4.641588833612772e-13,1e-15,2.6666666666666665,2.0,0.8205977687612834,0.6473399824423562,-0.05858790683173432,0.3495034970207189,0.4931575959202972,0.3890992879161949,-0.2557357008714862,0.22494212656920642,0.2768047562650552,0.2152015349917162,-0.001120513298520033,0.13626054256381925
4.641588833612772e-13,1e-15,2.6666666666666665,2.6666666666666665,0.8207606771297531,0.6474669594491902,-0.05901996678444193,0.34957308845433066,0.5007005429866688,0.3951364086673908,-0.263828775190609,0.22839185195802825,0.2990227566356621,0.23245024417940588,-0.015041529735398688,0.14719075833969952
4.641588833612772e-13,1e-15,2.6666666666666665,3.333333333333333,0.8209151921828292,0.647587853658599,-0.059276210338687615,0.34963902866024077,0.5064349730424382,0.3997091090511337,-0.2686129254131633,0.23101242870166294,0.3132945948859811,0.24349210023042728,-0.02322758892571494,0.15421150013722562
4.641588833612772e-13,1e-15,2.6666666666666665,4.0,0.8210493095802648,0.6476928765383632,-0.05944975438573662,0.34969624225492424,0.5108968104013131,0.40325262948224333,-0.27184489008747853,0.2330506789534681,0.3233359355110669,0.2512463493014831,-0.028738517217038607,0.15915098899061186
