#,dates,pressure_differential_m,temperature_stream_C
210,07/04/2017 22:15:00,-0.040256901,12.201
211,07/04/2017 22:30:00,-0.041458862,12.063
212,07/04/2017 22:45:00,-0.042509758,11.919
213,07/04/2017 23:00:00,-0.043296069,11.768
214,07/04/2017 23:15:00,-0.043823237,11.622
215,07/04/2017 23:30:00,-0.044469804,11.476
216,07/04/2017 23:45:00,-0.045081993,11.326
217,08/04/2017 00:00:00,-0.045213436,11.187
218,08/04/2017 00:15:00,-0.045446647,11.055
219,08/04/2017 00:30:00,-0.04588066,10.919
220,08/04/2017 00:45:00,-0.045745728,10.789
221,08/04/2017 01:00:00,-0.045869502,10.667
222,08/04/2017 01:15:00,-0.045991022,10.55
223,08/04/2017 01:30:00,-0.046318328,10.438
224,08/04/2017 01:45:00,-0.046674124,10.323
225,08/04/2017 02:00:00,-0.046815563,10.222
226,08/04/2017 02:15:00,-0.046602414,10.113
227,08/04/2017 02:30:00,-0.047178484,10.015
228,08/04/2017 02:45:00,-0.04748365,9.92
229,08/04/2017 03:00:00,-0.047179616,9.828
230,08/04/2017 03:15:00,-0.047352274,9.738
231,08/04/2017 03:30:00,-0.047561574,9.655
232,08/04/2017 03:45:00,-0.04799611,9.578
233,08/04/2017 04:00:00,-0.048133959,9.501
234,08/04/2017 04:15:00,-0.048034378,9.433
235,08/04/2017 04:30:00,-0.04780907,9.367
236,08/04/2017 04:45:00,-0.04825447,9.298
237,08/04/2017 05:00:00,-0.048277906,9.23
238,08/04/2017 05:15:00,-0.048314011,9.166
239,08/04/2017 05:30:00,-0.047627855,9.111
240,08/04/2017 05:45:00,-0.04812031,9.058
241,08/04/2017 06:00:00,-0.048303866,9.004
242,08/04/2017 06:15:00,-0.048554362,8.954
243,08/04/2017 06:30:00,-0.047893989,8.902
244,08/04/2017 06:45:00,-0.048141779,8.858
245,08/04/2017 07:00:00,-0.047736053,8.823
246,08/04/2017 07:15:00,-0.048142608,8.796
247,08/04/2017 07:30:00,-0.047488152,8.775
248,08/04/2017 07:45:00,-0.047193255,8.759
249,08/04/2017 08:00:00,-0.046638326,8.762
250,08/04/2017 08:15:00,-0.046252563,8.779
251,08/04/2017 08:30:00,-0.045341281,8.81
252,08/04/2017 08:45:00,-0.045264902,8.855
253,08/04/2017 09:00:00,-0.044410187,8.913
254,08/04/2017 09:15:00,-0.043734123,8.976
255,08/04/2017 09:30:00,-0.041911128,9.055
256,08/04/2017 09:45:00,-0.040974568,9.126
257,08/04/2017 10:00:00,-0.039324788,9.202
258,08/04/2017 10:15:00,-0.038092011,9.288
259,08/04/2017 10:30:00,-0.0385073,9.378
260,08/04/2017 10:45:00,-0.036078321,9.501
261,08/04/2017 11:00:00,-0.036363842,9.618
262,08/04/2017 11:15:00,-0.035029354,9.745
263,08/04/2017 11:30:00,-0.03377267,9.884
264,08/04/2017 11:45:00,-0.033501953,10.043
265,08/04/2017 12:00:00,-0.032801148,10.217
266,08/04/2017 12:15:00,-0.03171052,10.417
267,08/04/2017 12:30:00,-0.03129966,10.626
268,08/04/2017 12:45:00,-0.030547343,10.838
269,08/04/2017 13:00:00,-0.02964397,11.052
270,08/04/2017 13:15:00,-0.027952299,11.269
271,08/04/2017 13:30:00,-0.027528805,11.502
272,08/04/2017 13:45:00,-0.026984549,11.73
273,08/04/2017 14:00:00,-0.025935112,11.959
274,08/04/2017 14:15:00,-0.024778916,12.168
275,08/04/2017 14:30:00,-0.024447209,12.382
276,08/04/2017 14:45:00,-0.023831915,12.583
277,08/04/2017 15:00:00,-0.022579387,12.793
278,08/04/2017 15:15:00,-0.021939227,13.001
279,08/04/2017 15:30:00,-0.022063406,13.215
280,08/04/2017 15:45:00,-0.02185878,13.424
281,08/04/2017 16:00:00,-0.020830548,13.61
282,08/04/2017 16:15:00,-0.021908499,13.775
283,08/04/2017 16:30:00,-0.021849895,13.933
284,08/04/2017 16:45:00,-0.021982101,14.053
285,08/04/2017 17:00:00,-0.02176831,14.162
286,08/04/2017 17:15:00,-0.021511101,14.271
287,08/04/2017 17:30:00,-0.022159746,14.349
288,08/04/2017 17:45:00,-0.022591274,14.403
289,08/04/2017 18:00:00,-0.02321047,14.438
290,08/04/2017 18:15:00,-0.023797079,14.453
291,08/04/2017 18:30:00,-0.023713392,14.438
292,08/04/2017 18:45:00,-0.025066988,14.405
293,08/04/2017 19:00:00,-0.026384389,14.36
294,08/04/2017 19:15:00,-0.027259911,14.304
295,08/04/2017 19:30:00,-0.028442509,14.237
296,08/04/2017 19:45:00,-0.029816385,14.143
297,08/04/2017 20:00:00,-0.031257632,14.036
298,08/04/2017 20:15:00,-0.032784808,13.927
299,08/04/2017 20:30:00,-0.034068666,13.82
300,08/04/2017 20:45:00,-0.035442071,13.711
301,08/04/2017 21:00:00,-0.035934003,13.599
302,08/04/2017 21:15:00,-0.036733467,13.479
303,08/04/2017 21:30:00,-0.037812425,13.353
304,08/04/2017 21:45:00,-0.038340064,13.222
305,08/04/2017 22:00:00,-0.039475986,13.078
306,08/04/2017 22:15:00,-0.041412866,12.927
307,08/04/2017 22:30:00,-0.042705711,12.772
308,08/04/2017 22:45:00,-0.043640352,12.609
309,08/04/2017 23:00:00,-0.045193238,12.443
310,08/04/2017 23:15:00,-0.045311979,12.272
311,08/04/2017 23:30:00,-0.044929166,12.11
312,08/04/2017 23:45:00,-0.045760689,11.947
313,09/04/2017 00:00:00,-0.046027783,11.784
314,09/04/2017 00:15:00,-0.045772973,11.631
315,09/04/2017 00:30:00,-0.046485107,11.476
316,09/04/2017 00:45:00,-0.046840865,11.329
317,09/04/2017 01:00:00,-0.04693568,11.195
318,09/04/2017 01:15:00,-0.046784907,11.056
319,09/04/2017 01:30:00,-0.047042994,10.925
320,09/04/2017 01:45:00,-0.047343146,10.797
321,09/04/2017 02:00:00,-0.047339388,10.681
322,09/04/2017 02:15:00,-0.0478286,10.563
323,09/04/2017 02:30:00,-0.047627663,10.455
324,09/04/2017 02:45:00,-0.048292364,10.345
325,09/04/2017 03:00:00,-0.048455962,10.243
326,09/04/2017 03:15:00,-0.048790068,10.144
327,09/04/2017 03:30:00,-0.047993055,10.046
328,09/04/2017 03:45:00,-0.048419885,9.954
329,09/04/2017 04:00:00,-0.048773445,9.86
330,09/04/2017 04:15:00,-0.048955158,9.778
331,09/04/2017 04:30:00,-0.048707675,9.701
332,09/04/2017 04:45:00,-0.049151252,9.62
333,09/04/2017 05:00:00,-0.049324826,9.54
334,09/04/2017 05:15:00,-0.049082319,9.464
335,09/04/2017 05:30:00,-0.049368056,9.384
336,09/04/2017 05:45:00,-0.048733432,9.307
337,09/04/2017 06:00:00,-0.049180637,9.234
338,09/04/2017 06:15:00,-0.049045326,9.165
339,09/04/2017 06:30:00,-0.049642237,9.097
340,09/04/2017 06:45:00,-0.049781458,9.033
341,09/04/2017 07:00:00,-0.049246813,8.979
342,09/04/2017 07:15:00,-0.049227307,8.93
343,09/04/2017 07:30:00,-0.049666411,8.891
344,09/04/2017 07:45:00,-0.049390958,8.872
345,09/04/2017 08:00:00,-0.049197838,8.871
346,09/04/2017 08:15:00,-0.049031428,8.891
347,09/04/2017 08:30:00,-0.048510008,8.928
348,09/04/2017 08:45:00,-0.048562985,8.979
349,09/04/2017 09:00:00,-0.048350038,9.038
350,09/04/2017 09:15:00,-0.047886542,9.103
351,09/04/2017 09:30:00,-0.046948648,9.193
352,09/04/2017 09:45:00,-0.046171756,9.279
353,09/04/2017 10:00:00,-0.04504437,9.376
354,09/04/2017 10:15:00,-0.042480152,9.49
355,09/04/2017 10:30:00,-0.040313467,9.597
356,09/04/2017 10:45:00,-0.039563769,9.731
357,09/04/2017 11:00:00,-0.037597494,9.883
358,09/04/2017 11:15:00,-0.036572376,10.026
359,09/04/2017 11:30:00,-0.036064225,10.19
360,09/04/2017 11:45:00,-0.035122382,10.381
361,09/04/2017 12:00:00,-0.034445128,10.583
362,09/04/2017 12:15:00,-0.033556693,10.808
363,09/04/2017 12:30:00,-0.033185672,11.049
364,09/04/2017 12:45:00,-0.032028156,11.289
365,09/04/2017 13:00:00,-0.030668049,11.549
366,09/04/2017 13:15:00,-0.030020264,11.81
367,09/04/2017 13:30:00,-0.028447608,12.084
368,09/04/2017 13:45:00,-0.026232732,12.358
369,09/04/2017 14:00:00,-0.025330333,12.63
370,09/04/2017 14:15:00,-0.024630973,12.877
371,09/04/2017 14:30:00,-0.024359465,13.13
372,09/04/2017 14:45:00,-0.02334893,13.365
373,09/04/2017 15:00:00,-0.023212185,13.608
374,09/04/2017 15:15:00,-0.023088555,13.85
375,09/04/2017 15:30:00,-0.022092042,14.086
376,09/04/2017 15:45:00,-0.022047099,14.322
377,09/04/2017 16:00:00,-0.021380259,14.533
378,09/04/2017 16:15:00,-0.021448337,14.731
379,09/04/2017 16:30:00,-0.021842465,14.9
380,09/04/2017 16:45:00,-0.021428822,15.051
381,09/04/2017 17:00:00,-0.021337184,15.194
